ชื่อสินค้า,หมวดหมู่,ราคา
ไก่อบสมุนไพร (ใหญ่),จานหลัก,330
ไก่อบสมุนไพร (พิเศษ),จานหลัก,270
น่องเป็ดตุ๋นน้ำมัน,จานหลัก,320
น่องเป็ดตุ๋นน้ำมัน (ใหญ่),จานหลัก,480
น่องเป็ดตุ๋นน้ำมัน (พิเศษ),จานหลัก,370
สเต็กซี่โครงแกะ,จานหลัก,550
สเต็กซี่โครงแกะ (ใหญ่),จานหลัก,825
สเต็กซี่โครงแกะ (พิเศษ),จานหลัก,600
เบอร์เกอร์เนื้อ,จานหลัก,200
เบอร์เกอร์เนื้อ (ใหญ่),จานหลัก,300
เบอร์เกอร์เนื้อ (พิเศษ),จานหลัก,250
คลับแซนด์วิช,จานหลัก,180
คลับแซนด์วิช (ใหญ่),จานหลัก,270
คลับแซนด์วิช (พิเศษ),จานหลัก,230
สปาเก็ตตี้คาร์โบนาร่า,พาสต้า,220
สปาเก็ตตี้คาร์โบนาร่า (ใหญ่),พาสต้า,330
สปาเก็ตตี้คาร์โบนาร่า (พิเศษ),พาสต้า,270
สปาเก็ตตี้ซอสเนื้อ,พาสต้า,200
สปาเก็ตตี้ซอสเนื้อ (ใหญ่),พาสต้า,300
สปาเก็ตตี้ซอสเนื้อ (พิเศษ),พาสต้า,250
สปาเก็ตตี้พริกแห้งเบคอน,พาสต้า,180
สปาเก็ตตี้พริกแห้งเบคอน (ใหญ่),พาสต้า,270
สปาเก็ตตี้พริกแห้งเบคอน (พิเศษ),พาสต้า,230
สปาเก็ตตี้ซอสเพสโต้,พาสต้า,190
สปาเก็ตตี้ซอสเพสโต้ (ใหญ่),พาสต้า,285
สปาเก็ตตี้ซอสเพสโต้ (พิเศษ),พาสต้า,240
สปาเก็ตตี้ซอสมะเขือเทศ,พาสต้า,170
สปาเก็ตตี้ซอสมะเขือเทศ (ใหญ่),พาสต้า,255
สปาเก็ตตี้ซอสมะเขือเทศ (พิเศษ),พาสต้า,220
ลาซานญ่า,พาสต้า,240
ลาซานญ่า (ใหญ่),พาสต้า,360
ลาซานญ่า (พิเศษ),พาสต้า,290
เฟตตูชินีอัลเฟรโด,พาสต้า,210
เฟตตูชินีอัลเฟรโด (ใหญ่),พาสต้า,315
เฟตตูชินีอัลเฟรโด (พิเศษ),พาสต้า,260
สปาเก็ตตี้หอยลาย,พาสต้า,230
สปาเก็ตตี้หอยลาย (ใหญ่),พาสต้า,345
สปาเก็ตตี้หอยลาย (พิเศษ),พาสต้า,280
มักกะโรนีอบชีส,พาสต้า,160
มักกะโรนีอบชีส (ใหญ่),พาสต้า,240
มักกะโรนีอบชีส (พิเศษ),พาสต้า,210
ราวิโอลี่ผักโขม,พาสต้า,220
ราวิโอลี่ผักโขม (ใหญ่),พาสต้า,330
ราวิโอลี่ผักโขม (พิเศษ),พาสต้า,270
พิซซ่ามาร์เกริต้า,พิซซ่า,250
พิซซ่ามาร์เกริต้า (ใหญ่),พิซซ่า,375
พิซซ่ามาร์เกริต้า (พิเศษ),พิซซ่า,300
พิซซ่าเปปเปอโรนี,พิซซ่า,290
พิซซ่าเปปเปอโรนี (ใหญ่),พิซซ่า,435
พิซซ่าเปปเปอโรนี (พิเศษ),พิซซ่า,340
พิซซ่าฮาวายเอี้ยน,พิซซ่า,270
พิซซ่าฮาวายเอี้ยน (ใหญ่),พิซซ่า,405
พิซซ่าฮาวายเอี้ยน (พิเศษ),พิซซ่า,320
พิซซ่าซีฟู้ด,พิซซ่า,350
พิซซ่าซีฟู้ด (ใหญ่),พิซซ่า,525
พิซซ่าซีฟู้ด (พิเศษ),พิซซ่า,400
พิซซ่าโฟร์ชีส,พิซซ่า,320
พิซซ่าโฟร์ชีส (ใหญ่),พิซซ่า,480
พิซซ่าโฟร์ชีส (พิเศษ),พิซซ่า,370
พิซซ่าหน้าผัก,พิซซ่า,240
พิซซ่าหน้าผัก (ใหญ่),พิซซ่า,360
พิซซ่าหน้าผัก (พิเศษ),พิซซ่า,290
พิซซ่าหน้าไก่บาร์บีคิว,พิซซ่า,280
พิซซ่าหน้าไก่บาร์บีคิว (ใหญ่),พิซซ่า,420
พิซซ่าหน้าไก่บาร์บีคิว (พิเศษ),พิซซ่า,330
พิซซ่าพาร์ม่าแฮม,พิซซ่า,390
พิซซ่าพาร์ม่าแฮม (ใหญ่),พิซซ่า,585
พิซซ่าพาร์ม่าแฮม (พิเศษ),พิซซ่า,440
พิซซ่าทรัฟเฟิล,พิซซ่า,450
พิซซ่าทรัฟเฟิล (ใหญ่),พิซซ่า,675
พิซซ่าทรัฟเฟิล (พิเศษ),พิซซ่า,500
พิซซ่าไส้กรอกอิตาเลียน,พิซซ่า,310
พิซซ่าไส้กรอกอิตาเลียน (ใหญ่),พิซซ่า,465
พิซซ่าไส้กรอกอิตาเลียน (พิเศษ),พิซซ่า,360
ทีรามิสุ,ของหวาน,160
ทีรามิสุ (ใหญ่),ของหวาน,240
ทีรามิสุ (พิเศษ),ของหวาน,210
พานาคอตต้า,ของหวาน,140
พานาคอตต้า (ใหญ่),ของหวาน,210
พานาคอตต้า (พิเศษ),ของหวาน,190
ชีสเค้ก,ของหวาน,150
ชีสเค้ก (ใหญ่),ของหวาน,225
ชีสเค้ก (พิเศษ),ของหวาน,200
ช็อกโกแลตลาวา,ของหวาน,170
ช็อกโกแลตลาวา (ใหญ่),ของหวาน,255
ช็อกโกแลตลาวา (พิเศษ),ของหวาน,220
ไอศกรีม,ของหวาน,80
ไอศกรีม (ใหญ่),ของหวาน,120
ไอศกรีม (พิเศษ),ของหวาน,130
บราวนี่,ของหวาน,90
บราวนี่ (ใหญ่),ของหวาน,135
บราวนี่ (พิเศษ),ของหวาน,140
พายแอปเปิ้ล,ของหวาน,130
พายแอปเปิ้ล (ใหญ่),ของหวาน,195
พายแอปเปิ้ล (พิเศษ),ของหวาน,180
เครมบรูเล่,ของหวาน,150
เครมบรูเล่ (ใหญ่),ของหวาน,225
เครมบรูเล่ (พิเศษ),ของหวาน,200
ทาร์ตผลไม้,ของหวาน,140
ทาร์ตผลไม้ (ใหญ่),ของหวาน,210
ทาร์ตผลไม้ (พิเศษ),ของหวาน,190
วาฟเฟิล,ของหวาน,120
วาฟเฟิล (ใหญ่),ของหวาน,180
วาฟเฟิล (พิเศษ),ของหวาน,170
น้ำเปล่า,เครื่องดื่ม,30
น้ำเปล่า (ใหญ่),เครื่องดื่ม,45
น้ำเปล่า (พิเศษ),เครื่องดื่ม,80
โค้ก,เครื่องดื่ม,40
โค้ก (ใหญ่),เครื่องดื่ม,60
โค้ก (พิเศษ),เครื่องดื่ม,90
สไปรท์,เครื่องดื่ม,40
สไปรท์ (ใหญ่),เครื่องดื่ม,60
สไปรท์ (พิเศษ),เครื่องดื่ม,90
ชามะนาว,เครื่องดื่ม,60
ชามะนาว (ใหญ่),เครื่องดื่ม,90
ชามะนาว (พิเศษ),เครื่องดื่ม,110
น้ำส้มคั้น,เครื่องดื่ม,80
น้ำส้มคั้น (ใหญ่),เครื่องดื่ม,120
น้ำส้มคั้น (พิเศษ),เครื่องดื่ม,130
น้ำแอปเปิ้ล,เครื่องดื่ม,80
น้ำแอปเปิ้ล (ใหญ่),เครื่องดื่ม,120
น้ำแอปเปิ้ล (พิเศษ),เครื่องดื่ม,130
กาแฟร้อน,เครื่องดื่ม,70
กาแฟร้อน (ใหญ่),เครื่องดื่ม,105
กาแฟร้อน (พิเศษ),เครื่องดื่ม,120
กาแฟเย็น,เครื่องดื่ม,85
กาแฟเย็น (ใหญ่),เครื่องดื่ม,127
กาแฟเย็น (พิเศษ),เครื่องดื่ม,135
ชาร้อน,เครื่องดื่ม,60
ชาร้อน (ใหญ่),เครื่องดื่ม,90
ชาร้อน (พิเศษ),เครื่องดื่ม,110
เบียร์,เครื่องดื่ม,120
เบียร์ (ใหญ่),เครื่องดื่ม,180
เบียร์ (พิเศษ),เครื่องดื่ม,170
ไวน์แดง (แก้ว),เครื่องดื่ม,250
ไวน์แดง (แก้ว) (ใหญ่),เครื่องดื่ม,375
ไวน์แดง (แก้ว) (พิเศษ),เครื่องดื่ม,300
ไวน์ขาว (แก้ว),เครื่องดื่ม,250
ไวน์ขาว (แก้ว) (ใหญ่),เครื่องดื่ม,375
ไวน์ขาว (แก้ว) (พิเศษ),เครื่องดื่ม,300
โมฮิโต้,เครื่องดื่ม,220
โมฮิโต้ (ใหญ่),เครื่องดื่ม,330
โมฮิโต้ (พิเศษ),เครื่องดื่ม,270
สมูทตี้ผลไม้,เครื่องดื่ม,95
สมูทตี้ผลไม้ (ใหญ่),เครื่องดื่ม,142
สมูทตี้ผลไม้ (พิเศษ),เครื่องดื่ม,145
น้ำแร่,เครื่องดื่ม,50
น้ำแร่ (ใหญ่),เครื่องดื่ม,75
น้ำแร่ (พิเศษ),เครื่องดื่ม,100
ขนมปังกระเทียม,ของทานเล่น,89
ขนมปังกระเทียม (ใหญ่),ของทานเล่น,133
ขนมปังกระเทียม (พิเศษ),ของทานเล่น,139
เฟรนช์ฟรายส์,ของทานเล่น,79
เฟรนช์ฟรายส์ (ใหญ่),ของทานเล่น,118
